Age,Gender,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Part_Time_Job,Study_Method,Diet_Quality,Internet_Quality,Extracurricular,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Final_Score,Predikat,Kelompok_Jam_Belajar,Kelompok_Kehadiran,Kelompok_Stres
21,Female,3.75,75.4,6.7,4.4,4.4,3.05,No,Online,Average,Average,Yes,2,Middle,6.5,83.59,Baik (75-90),2-4 jam,70-80%,Sedang (3-5)
19,Male,4.66,83.5,7.1,9.4,4.8,2.95,Yes,Offline,Average,Excellent,Yes,2,Middle,4.2,74.7,Cukup (60-75),4-6 jam,80-90%,Sangat Tinggi (7-10)
19,Male,5.1,62.9,7.7,4.8,0.5,3.49,Yes,Online,Good,Average,No,1,Low,4.6,86.11,Baik (75-90),4-6 jam,60-70%,Sedang (3-5)
22,Male,4.67,89.6,6.5,5.1,0.9,2.54,No,Online,Average,Excellent,Yes,2,Low,3.5,99.7,Sangat Baik (>90),4-6 jam,80-90%,Tinggi (5-7)
18,Male,2.09,91.5,5.2,4.7,3.8,2.62,No,Offline,Good,Average,No,1,High,7.0,66.51,Cukup (60-75),2-4 jam,>90%,Sedang (3-5)
19,Female,6.11,82.5,5.7,5.0,5.5,3.23,Yes,Online,Average,Poor,No,0,Low,3.2,87.87,Baik (75-90),6-8 jam,80-90%,Tinggi (5-7)
21,Female,5.25,61.2,5.9,4.4,3.1,2.7,No,Hybrid,Average,Average,Yes,2,Middle,3.4,92.06,Sangat Baik (>90),4-6 jam,60-70%,Sedang (3-5)
21,Female,5.55,72.9,8.0,4.9,4.2,3.59,Yes,Online,Good,Average,Yes,4,Middle,1.7,96.51,Sangat Baik (>90),4-6 jam,70-80%,Sedang (3-5)
24,Female,1.95,78.5,7.2,5.1,5.7,2.62,No,Hybrid,Average,Average,No,0,High,7.3,61.96,Cukup (60-75),0-2 jam,70-80%,Tinggi (5-7)
21,Male,8.3,82.8,6.5,10.0,3.0,3.42,No,Offline,Good,Poor,No,0,Low,4.6,87.96,Baik (75-90),> 8 jam,80-90%,Sangat Tinggi (7-10)
20,Female,5.31,67.6,7.0,3.5,3.9,3.45,No,Hybrid,Average,Good,Yes,1,Middle,6.0,85.08,Baik (75-90),4-6 jam,60-70%,Sedang (3-5)
17,Male,4.23,77.5,6.4,8.1,5.8,3.31,Yes,Offline,Good,Average,Yes,1,Middle,5.1,77.73,Baik (75-90),4-6 jam,70-80%,Sangat Tinggi (7-10)
21,Female,9.06,87.0,6.5,3.8,3.0,2.61,Yes,Offline,Good,Average,Yes,4,Middle,5.2,97.15,Sangat Baik (>90),> 8 jam,80-90%,Sedang (3-5)
18,Male,4.91,74.5,7.7,10.0,5.3,3.23,No,Offline,Poor,Excellent,Yes,3,Middle,3.5,81.12,Baik (75-90),4-6 jam,70-80%,Sangat Tinggi (7-10)
24,Female,2.1,76.9,7.2,7.1,4.1,3.54,Yes,Online,Good,Good,No,2,Middle,6.8,70.5,Cukup (60-75),2-4 jam,70-80%,Sangat Tinggi (7-10)
21,Female,4.19,75.3,7.0,5.8,0.6,3.29,Yes,Offline,Average,Excellent,No,1,Low,3.7,85.69,Baik (75-90),4-6 jam,70-80%,Tinggi (5-7)
20,Female,0.42,65.8,6.9,4.2,6.3,3.64,No,Hybrid,Average,Good,No,2,Middle,5.4,68.32,Cukup (60-75),0-2 jam,60-70%,Sedang (3-5)
22,Female,7.1,76.4,6.5,4.2,3.8,2.58,No,Offline,Average,Average,No,1,Low,4.5,98.29,Sangat Baik (>90),6-8 jam,70-80%,Sedang (3-5)
18,Male,4.17,77.8,7.8,5.2,4.5,2.97,No,Offline,Average,Good,Yes,2,High,8.4,76.03,Baik (75-90),4-6 jam,70-80%,Tinggi (5-7)
20,Female,3.51,87.4,6.8,2.1,5.4,3.99,Yes,Offline,Good,Poor,No,3,Middle,5.0,92.76,Sangat Baik (>90),2-4 jam,80-90%,Rendah (1-3)
22,Male,7.14,72.0,7.6,8.3,4.9,2.75,Yes,Hybrid,Poor,Poor,Yes,2,High,5.6,85.89,Baik (75-90),6-8 jam,70-80%,Sangat Tinggi (7-10)
23,Female,1.7,66.9,4.9,2.8,3.7,2.34,No,Hybrid,Average,Good,No,2,Low,5.3,58.54,Kurang (<60),0-2 jam,60-70%,Rendah (1-3)
23,Female,6.07,75.0,8.5,6.2,4.2,3.05,No,Offline,Average,Good,No,2,High,3.9,95.53,Sangat Baik (>90),6-8 jam,70-80%,Tinggi (5-7)
18,Male,0.87,71.1,6.5,8.0,5.2,2.63,No,Hybrid,Average,Good,No,0,Middle,6.8,45.31,Kurang (<60),0-2 jam,70-80%,Sangat Tinggi (7-10)
17,Female,2.59,74.3,7.9,3.4,3.5,3.54,Yes,Offline,Good,Average,No,2,High,3.4,96.23,Sangat Baik (>90),2-4 jam,70-80%,Sedang (3-5)
24,Male,7.92,64.4,8.5,3.3,2.0,2.56,Yes,Offline,Average,Good,No,3,High,5.6,95.45,Sangat Baik (>90),6-8 jam,60-70%,Sedang (3-5)
17,Female,8.53,85.9,8.3,7.7,4.1,2.76,No,Hybrid,Good,Good,No,4,High,1.7,95.86,Sangat Baik (>90),> 8 jam,80-90%,Sangat Tinggi (7-10)
20,Male,4.34,79.2,7.8,6.7,3.9,1.93,No,Online,Average,Excellent,No,0,High,8.2,59.14,Kurang (<60),4-6 jam,70-80%,Tinggi (5-7)
22,Female,6.68,81.7,7.0,5.3,5.8,2.51,No,Online,Good,Excellent,No,2,Low,2.6,90.89,Sangat Baik (>90),6-8 jam,80-90%,Tinggi (5-7)
17,Female,4.64,83.9,6.9,6.2,6.6,3.06,No,Hybrid,Good,Excellent,No,2,Middle,6.9,66.2,Cukup (60-75),4-6 jam,80-90%,Tinggi (5-7)
22,Female,3.49,70.8,6.6,4.6,4.2,2.62,No,Online,Average,Good,Yes,1,Low,5.7,77.71,Baik (75-90),2-4 jam,70-80%,Sedang (3-5)
20,Male,1.58,86.1,7.8,4.9,6.6,3.25,No,Hybrid,Average,Average,Yes,0,High,4.0,67.78,Cukup (60-75),0-2 jam,80-90%,Sedang (3-5)
20,Female,1.39,80.6,8.3,7.9,2.9,4.0,Yes,Offline,Average,Average,No,1,Middle,5.9,84.67,Baik (75-90),0-2 jam,80-90%,Sangat Tinggi (7-10)
20,Male,5.77,80.5,8.1,2.2,0.5,3.39,Yes,Offline,Good,Excellent,No,1,High,5.5,86.1,Baik (75-90),4-6 jam,80-90%,Rendah (1-3)
17,Female,9.5,78.9,4.6,3.6,5.0,3.71,No,Hybrid,Average,Poor,Yes,2,Middle,3.1,90.34,Sangat Baik (>90),> 8 jam,70-80%,Sedang (3-5)
23,Female,5.54,75.3,7.0,5.3,5.4,3.23,Yes,Hybrid,Average,Excellent,No,2,Middle,4.8,90.81,Sangat Baik (>90),4-6 jam,70-80%,Tinggi (5-7)
20,Male,3.95,82.0,4.3,5.7,5.1,2.64,No,Offline,Average,Average,Yes,1,Low,7.1,65.18,Cukup (60-75),2-4 jam,80-90%,Tinggi (5-7)
24,Male,9.1,80.2,8.1,3.9,2.6,3.5,No,Hybrid,Poor,Excellent,No,1,Low,2.8,86.73,Baik (75-90),> 8 jam,80-90%,Sedang (3-5)
17,Female,5.47,86.7,7.8,5.1,2.1,3.38,No,Hybrid,Good,Average,Yes,2,High,1.9,97.86,Sangat Baik (>90),4-6 jam,80-90%,Tinggi (5-7)
20,Female,5.2,94.7,6.5,4.5,5.1,2.28,No,Offline,Average,Average,No,0,High,2.2,92.57,Sangat Baik (>90),4-6 jam,>90%,Sedang (3-5)
21,Male,5.51,70.1,5.4,4.7,3.2,2.76,No,Offline,Average,Average,No,2,Middle,2.0,92.58,Sangat Baik (>90),4-6 jam,70-80%,Sedang (3-5)
22,Male,4.74,99.3,6.2,3.7,2.3,3.11,No,Offline,Good,Good,Yes,3,High,2.1,94.74,Sangat Baik (>90),4-6 jam,>90%,Sedang (3-5)
24,Male,4.38,90.7,5.8,5.1,3.8,3.29,Yes,Online,Poor,Average,Yes,0,Middle,6.4,74.14,Cukup (60-75),4-6 jam,>90%,Tinggi (5-7)
20,Female,2.13,68.5,7.5,4.9,3.2,1.95,No,Hybrid,Average,Good,No,1,High,6.7,61.87,Cukup (60-75),2-4 jam,60-70%,Sedang (3-5)
18,Male,6.0,78.6,6.9,5.4,3.3,3.37,No,Hybrid,Poor,Poor,No,2,Low,1.2,94.29,Sangat Baik (>90),6-8 jam,70-80%,Tinggi (5-7)
22,Female,4.81,79.9,9.0,7.9,3.5,3.14,No,Hybrid,Good,Poor,No,3,Middle,3.5,85.59,Baik (75-90),4-6 jam,70-80%,Sangat Tinggi (7-10)
22,Male,7.45,91.6,6.0,6.7,1.8,3.61,No,Online,Average,Poor,No,2,Middle,2.3,89.93,Baik (75-90),6-8 jam,>90%,Tinggi (5-7)
20,Female,4.26,70.3,5.3,5.7,4.7,2.9,No,Online,Good,Good,Yes,2,Middle,6.0,78.78,Baik (75-90),4-6 jam,70-80%,Tinggi (5-7)
23,Male,1.19,97.0,9.4,5.7,0.5,3.36,Yes,Online,Average,Excellent,No,2,Middle,3.1,93.34,Sangat Baik (>90),0-2 jam,>90%,Tinggi (5-7)
19,Female,4.8,69.2,6.1,6.5,3.1,2.91,No,Online,Poor,Excellent,No,2,Middle,3.1,69.34,Cukup (60-75),4-6 jam,60-70%,Tinggi (5-7)
23,Male,8.4,76.3,5.2,7.3,5.8,3.0,Yes,Online,Average,Average,No,2,Middle,4.2,90.55,Sangat Baik (>90),> 8 jam,70-80%,Sangat Tinggi (7-10)
20,Female,4.23,73.8,7.7,7.3,4.7,2.89,Yes,Offline,Average,Good,No,0,Low,6.2,70.49,Cukup (60-75),4-6 jam,70-80%,Sangat Tinggi (7-10)
22,Male,3.22,67.6,8.8,5.3,5.4,2.69,Yes,Hybrid,Average,Good,No,0,Middle,4.8,56.54,Kurang (<60),2-4 jam,60-70%,Tinggi (5-7)
24,Female,2.89,68.7,7.1,2.5,0.9,2.57,Yes,Online,Average,Average,No,1,Middle,5.0,68.52,Cukup (60-75),2-4 jam,60-70%,Rendah (1-3)
18,Female,2.9,74.1,7.5,2.3,3.3,3.13,No,Hybrid,Average,Good,Yes,1,High,3.6,76.31,Baik (75-90),2-4 jam,70-80%,Rendah (1-3)
24,Male,4.4,77.3,7.9,5.0,6.7,2.68,Yes,Offline,Average,Good,Yes,1,Middle,6.3,83.35,Baik (75-90),4-6 jam,70-80%,Tinggi (5-7)
24,Female,2.64,73.8,6.2,3.6,4.0,3.16,Yes,Online,Poor,Average,No,1,Low,4.4,74.93,Cukup (60-75),2-4 jam,70-80%,Sedang (3-5)
22,Female,8.0,70.7,7.1,5.9,1.5,3.04,Yes,Offline,Good,Poor,No,2,Middle,3.2,85.95,Baik (75-90),> 8 jam,70-80%,Tinggi (5-7)
23,Male,4.43,54.2,8.0,8.0,3.3,2.41,No,Hybrid,Average,Average,No,1,Low,5.5,66.92,Cukup (60-75),4-6 jam,<60%,Sangat Tinggi (7-10)
18,Male,5.66,77.2,6.5,6.3,4.6,2.58,Yes,Offline,Poor,Good,No,2,Middle,5.3,66.32,Cukup (60-75),4-6 jam,70-80%,Tinggi (5-7)
17,Male,7.88,98.6,9.3,5.0,3.0,3.27,No,Online,Average,Poor,Yes,2,Low,5.1,89.63,Baik (75-90),6-8 jam,>90%,Tinggi (5-7)
21,Female,8.01,96.4,5.4,2.7,4.4,2.02,Yes,Hybrid,Good,Average,No,0,Middle,5.8,89.85,Baik (75-90),> 8 jam,>90%,Rendah (1-3)
22,Female,4.57,91.5,5.8,5.7,3.2,3.59,No,Hybrid,Poor,Average,Yes,2,Low,5.6,92.87,Sangat Baik (>90),4-6 jam,>90%,Tinggi (5-7)
20,Male,5.66,76.0,6.5,2.1,6.9,2.53,No,Offline,Average,Poor,Yes,1,Low,3.0,95.87,Sangat Baik (>90),4-6 jam,70-80%,Rendah (1-3)
17,Female,6.47,85.1,6.1,5.7,4.6,2.44,No,Online,Good,Average,Yes,2,High,4.9,83.67,Baik (75-90),6-8 jam,80-90%,Tinggi (5-7)
21,Female,4.61,74.6,6.6,5.8,3.8,3.66,No,Hybrid,Average,Excellent,No,0,High,6.9,80.52,Baik (75-90),4-6 jam,70-80%,Tinggi (5-7)
20,Female,1.44,75.3,7.8,7.5,5.1,1.94,No,Online,Poor,Poor,Yes,0,Middle,9.6,40.92,Kurang (<60),0-2 jam,70-80%,Sangat Tinggi (7-10)
24,Female,6.31,81.5,9.2,10.0,3.8,2.88,Yes,Hybrid,Average,Good,No,1,Low,3.5,77.38,Baik (75-90),6-8 jam,80-90%,Sangat Tinggi (7-10)
19,Female,6.79,90.1,5.2,5.5,4.2,3.02,Yes,Online,Good,Average,Yes,4,High,4.6,94.95,Sangat Baik (>90),6-8 jam,>90%,Tinggi (5-7)
20,Female,5.83,75.0,6.1,10.0,2.5,2.84,No,Online,Average,Good,No,0,High,5.7,74.03,Cukup (60-75),4-6 jam,70-80%,Sangat Tinggi (7-10)
18,Male,3.15,73.4,5.3,7.1,4.9,2.77,No,Online,Average,Good,No,0,High,7.5,58.58,Kurang (<60),2-4 jam,70-80%,Sangat Tinggi (7-10)
18,Female,4.61,79.6,7.1,3.8,5.6,3.08,No,Offline,Average,Average,No,3,Middle,5.6,93.47,Sangat Baik (>90),4-6 jam,70-80%,Sedang (3-5)
19,Female,3.82,65.2,6.2,5.5,4.7,2.27,No,Offline,Poor,Excellent,Yes,2,Low,4.5,58.33,Kurang (<60),2-4 jam,60-70%,Tinggi (5-7)
17,Male,4.4,88.5,6.0,5.9,1.9,2.77,Yes,Offline,Average,Good,Yes,2,Low,3.9,75.92,Baik (75-90),4-6 jam,80-90%,Tinggi (5-7)
21,Female,7.59,90.1,6.4,2.7,3.1,2.41,Yes,Online,Average,Excellent,No,4,High,4.8,98.29,Sangat Baik (>90),6-8 jam,>90%,Rendah (1-3)
20,Female,8.06,91.7,7.4,4.9,3.1,2.61,No,Online,Average,Good,Yes,3,High,3.9,94.5,Sangat Baik (>90),> 8 jam,>90%,Sedang (3-5)
18,Female,6.34,87.7,6.0,5.3,4.6,2.44,Yes,Hybrid,Average,Excellent,No,0,Middle,1.6,76.2,Baik (75-90),6-8 jam,80-90%,Tinggi (5-7)
17,Male,6.1,74.1,7.0,8.1,4.1,3.33,Yes,Hybrid,Good,Good,No,3,Middle,1.0,98.22,Sangat Baik (>90),6-8 jam,70-80%,Sangat Tinggi (7-10)
19,Male,6.35,77.6,5.5,2.6,4.4,3.3,No,Offline,Poor,Excellent,Yes,3,Middle,4.4,98.31,Sangat Baik (>90),6-8 jam,70-80%,Rendah (1-3)
23,Female,4.98,70.7,9.0,5.8,3.2,2.86,No,Online,Average,Good,Yes,1,High,5.8,82.55,Baik (75-90),4-6 jam,70-80%,Tinggi (5-7)
22,Female,4.85,83.1,6.9,2.6,3.0,3.09,No,Offline,Average,Good,No,1,Middle,1.9,90.74,Sangat Baik (>90),4-6 jam,80-90%,Rendah (1-3)
23,Male,3.65,100.0,8.7,4.4,4.9,3.43,No,Online,Poor,Good,No,1,Middle,5.5,92.04,Sangat Baik (>90),2-4 jam,>90%,Sedang (3-5)
23,Female,4.89,70.2,9.3,7.8,4.0,3.45,Yes,Hybrid,Average,Excellent,Yes,2,Low,4.3,80.66,Baik (75-90),4-6 jam,70-80%,Sangat Tinggi (7-10)
18,Female,9.52,86.5,7.2,4.6,4.1,2.67,Yes,Online,Good,Excellent,No,2,Middle,2.7,86.78,Baik (75-90),> 8 jam,80-90%,Sedang (3-5)
24,Male,6.74,93.7,5.2,5.5,2.1,3.12,Yes,Offline,Average,Average,No,2,Middle,2.8,95.63,Sangat Baik (>90),6-8 jam,>90%,Tinggi (5-7)
24,Male,4.32,69.6,7.5,5.8,4.7,3.7,No,Online,Average,Good,No,1,High,2.5,85.66,Baik (75-90),4-6 jam,60-70%,Tinggi (5-7)
19,Male,4.06,100.0,5.8,2.8,2.9,3.06,Yes,Online,Average,Average,Yes,2,Low,2.5,98.14,Sangat Baik (>90),4-6 jam,>90%,Rendah (1-3)
20,Female,3.27,73.4,7.9,6.4,3.6,3.17,Yes,Online,Average,Good,Yes,0,Low,3.1,61.97,Cukup (60-75),2-4 jam,70-80%,Tinggi (5-7)
24,Male,5.75,79.0,6.1,6.3,2.9,2.39,No,Hybrid,Good,Average,No,2,Middle,4.1,87.46,Baik (75-90),4-6 jam,70-80%,Tinggi (5-7)
23,Male,5.78,84.2,7.7,4.5,4.5,3.19,No,Hybrid,Poor,Average,Yes,1,Middle,4.5,96.34,Sangat Baik (>90),4-6 jam,80-90%,Sedang (3-5)
24,Male,2.11,89.3,7.5,8.4,3.4,2.26,No,Offline,Poor,Excellent,Yes,0,Middle,5.5,36.58,Kurang (<60),2-4 jam,80-90%,Sangat Tinggi (7-10)
23,Male,5.97,87.9,5.2,9.5,5.7,3.5,No,Online,Average,Average,No,1,Middle,4.2,88.08,Baik (75-90),4-6 jam,80-90%,Sangat Tinggi (7-10)
21,Male,3.86,77.6,8.8,7.7,4.9,3.78,No,Hybrid,Poor,Good,Yes,1,High,3.1,84.99,Baik (75-90),2-4 jam,70-80%,Sangat Tinggi (7-10)
18,Male,7.85,73.5,10.0,6.4,4.2,3.31,No,Online,Good,Good,Yes,1,High,4.8,93.36,Sangat Baik (>90),6-8 jam,70-80%,Tinggi (5-7)
18,Female,5.31,56.8,5.9,2.7,1.4,2.97,No,Hybrid,Good,Average,Yes,1,Middle,1.0,93.38,Sangat Baik (>90),4-6 jam,<60%,Rendah (1-3)
20,Female,8.44,75.0,6.9,3.2,4.7,2.15,No,Offline,Average,Average,No,2,Middle,4.7,96.13,Sangat Baik (>90),> 8 jam,70-80%,Sedang (3-5)
24,Male,4.08,92.6,5.9,6.2,3.3,3.77,Yes,Hybrid,Poor,Good,Yes,2,Low,1.0,94.94,Sangat Baik (>90),4-6 jam,>90%,Tinggi (5-7)
24,Male,4.42,72.2,7.1,6.1,3.4,2.14,No,Online,Average,Average,No,1,High,4.9,72.11,Cukup (60-75),4-6 jam,70-80%,Tinggi (5-7)
17,Male,7.11,87.1,7.5,7.3,5.4,3.31,No,Hybrid,Good,Excellent,No,2,Middle,2.9,98.11,Sangat Baik (>90),6-8 jam,80-90%,Sangat Tinggi (7-10)
21,Male,6.13,81.7,8.0,7.0,4.5,2.25,Yes,Offline,Average,Average,Yes,3,Low,2.1,84.61,Baik (75-90),6-8 jam,80-90%,Sangat Tinggi (7-10)
18,Male,2.53,74.5,7.8,5.0,4.2,4.0,No,Offline,Average,Average,Yes,2,Low,5.9,98.87,Sangat Baik (>90),2-4 jam,70-80%,Tinggi (5-7)
21,Male,5.37,74.5,5.9,6.5,5.6,3.68,Yes,Offline,Average,Good,No,2,Middle,2.1,90.19,Sangat Baik (>90),4-6 jam,70-80%,Tinggi (5-7)
18,Female,5.04,79.6,4.6,5.6,4.3,3.51,No,Hybrid,Good,Good,Yes,2,Low,1.5,99.62,Sangat Baik (>90),4-6 jam,70-80%,Tinggi (5-7)
21,Male,4.14,62.5,6.9,5.5,3.0,2.95,Yes,Hybrid,Good,Average,No,1,Middle,8.0,69.64,Cukup (60-75),4-6 jam,60-70%,Tinggi (5-7)
19,Female,3.7,94.0,6.9,5.8,4.7,2.39,No,Online,Average,Poor,No,1,Middle,5.3,78.13,Baik (75-90),2-4 jam,>90%,Tinggi (5-7)
23,Male,8.5,69.6,7.9,6.7,3.9,2.39,Yes,Online,Poor,Good,No,2,Middle,2.2,88.22,Baik (75-90),> 8 jam,60-70%,Tinggi (5-7)
18,Male,4.22,73.8,8.8,8.7,3.2,2.82,Yes,Offline,Average,Excellent,Yes,1,High,5.3,67.7,Cukup (60-75),4-6 jam,70-80%,Sangat Tinggi (7-10)
21,Female,3.31,73.9,7.4,5.9,1.0,2.6,No,Hybrid,Poor,Average,No,3,Middle,3.8,88.19,Baik (75-90),2-4 jam,70-80%,Tinggi (5-7)
24,Male,6.27,77.1,6.5,5.3,4.6,3.75,No,Online,Poor,Good,Yes,2,High,1.0,97.94,Sangat Baik (>90),6-8 jam,70-80%,Tinggi (5-7)
17,Female,5.26,83.8,7.1,4.0,3.9,2.84,No,Online,Poor,Excellent,Yes,0,Low,3.3,83.76,Baik (75-90),4-6 jam,80-90%,Sedang (3-5)
19,Male,4.85,92.1,6.5,7.2,5.9,2.76,No,Offline,Poor,Good,No,0,Low,4.9,75.8,Baik (75-90),4-6 jam,>90%,Sangat Tinggi (7-10)
19,Female,6.56,82.3,7.2,3.7,4.0,3.0,Yes,Hybrid,Good,Good,No,3,Middle,5.5,96.49,Sangat Baik (>90),6-8 jam,80-90%,Sedang (3-5)
17,Male,5.98,95.7,6.3,1.1,3.1,2.65,Yes,Online,Average,Good,No,2,Middle,3.6,92.36,Sangat Baik (>90),4-6 jam,>90%,Rendah (1-3)
21,Female,5.72,76.4,7.5,7.8,3.4,3.22,No,Online,Poor,Excellent,No,1,Low,4.7,76.25,Baik (75-90),4-6 jam,70-80%,Sangat Tinggi (7-10)
24,Male,6.93,87.0,6.1,9.7,2.4,2.85,No,Hybrid,Poor,Good,No,1,Middle,2.3,97.9,Sangat Baik (>90),6-8 jam,80-90%,Sangat Tinggi (7-10)
20,Female,5.57,88.0,5.5,5.3,3.0,3.32,Yes,Online,Poor,Excellent,Yes,2,Middle,6.1,82.45,Baik (75-90),4-6 jam,80-90%,Tinggi (5-7)
17,Male,3.77,81.5,7.2,5.7,4.1,3.42,Yes,Offline,Good,Good,Yes,0,High,6.4,74.01,Cukup (60-75),2-4 jam,80-90%,Tinggi (5-7)
21,Female,4.28,86.7,7.5,5.5,3.5,4.0,No,Hybrid,Average,Good,No,1,Middle,5.0,92.79,Sangat Baik (>90),4-6 jam,80-90%,Tinggi (5-7)
17,Male,3.96,69.9,7.6,6.9,4.2,2.35,No,Offline,Average,Average,Yes,0,Middle,5.9,64.17,Cukup (60-75),2-4 jam,60-70%,Tinggi (5-7)
17,Female,5.42,93.3,5.6,2.2,3.7,3.27,Yes,Offline,Average,Average,No,3,High,1.1,97.86,Sangat Baik (>90),4-6 jam,>90%,Rendah (1-3)
18,Male,2.84,88.2,5.0,1.2,4.3,3.05,Yes,Hybrid,Average,Good,Yes,2,High,6.7,73.61,Cukup (60-75),2-4 jam,80-90%,Rendah (1-3)
21,Male,1.34,81.8,5.3,3.9,3.7,3.91,Yes,Online,Poor,Average,Yes,1,Middle,5.6,67.1,Cukup (60-75),0-2 jam,80-90%,Sedang (3-5)
20,Female,5.18,76.6,8.5,8.1,3.4,3.04,No,Online,Poor,Good,Yes,0,Middle,5.0,68.67,Cukup (60-75),4-6 jam,70-80%,Sangat Tinggi (7-10)
23,Male,2.33,88.5,8.0,6.0,1.9,3.77,No,Offline,Average,Average,No,2,Middle,4.5,93.33,Sangat Baik (>90),2-4 jam,80-90%,Tinggi (5-7)
18,Male,1.1,69.3,7.6,3.3,7.8,3.44,Yes,Online,Poor,Excellent,No,1,Low,5.5,72.13,Cukup (60-75),0-2 jam,60-70%,Sedang (3-5)
17,Female,5.75,87.5,8.6,5.1,1.5,3.73,No,Online,Good,Average,Yes,1,Low,2.3,91.37,Sangat Baik (>90),4-6 jam,80-90%,Tinggi (5-7)
22,Male,5.99,100.0,8.5,3.2,4.1,3.71,Yes,Hybrid,Average,Good,No,2,High,1.5,85.38,Baik (75-90),4-6 jam,>90%,Sedang (3-5)
23,Female,3.94,79.3,7.1,2.7,4.7,2.09,No,Offline,Poor,Average,Yes,1,Middle,5.5,69.24,Cukup (60-75),2-4 jam,70-80%,Rendah (1-3)
17,Female,2.76,93.7,9.2,5.3,4.5,2.75,No,Online,Good,Good,No,2,Low,6.7,79.85,Baik (75-90),2-4 jam,>90%,Tinggi (5-7)
17,Male,2.51,86.4,8.8,5.3,2.2,2.58,Yes,Offline,Good,Average,No,1,Low,1.9,80.81,Baik (75-90),2-4 jam,80-90%,Tinggi (5-7)
24,Female,3.97,64.1,5.9,5.9,3.0,3.61,No,Offline,Average,Average,No,2,Middle,5.6,69.3,Cukup (60-75),2-4 jam,60-70%,Tinggi (5-7)
21,Female,4.45,67.3,8.0,5.4,2.6,2.99,No,Hybrid,Poor,Average,No,0,Middle,5.1,88.99,Baik (75-90),4-6 jam,60-70%,Tinggi (5-7)
18,Male,4.44,91.8,9.9,3.7,6.8,3.98,Yes,Offline,Good,Excellent,No,0,Middle,3.1,86.61,Baik (75-90),4-6 jam,>90%,Sedang (3-5)
20,Female,1.93,94.7,6.5,4.7,3.7,3.42,Yes,Hybrid,Average,Poor,No,1,High,2.3,90.25,Sangat Baik (>90),0-2 jam,>90%,Sedang (3-5)
18,Male,5.03,77.7,7.5,5.9,3.6,3.22,Yes,Online,Good,Good,No,2,Middle,3.3,87.01,Baik (75-90),4-6 jam,70-80%,Tinggi (5-7)
19,Male,1.41,84.5,7.5,3.6,5.2,2.27,No,Offline,Average,Average,Yes,0,Middle,8.0,57.16,Kurang (<60),0-2 jam,80-90%,Sedang (3-5)
17,Male,4.61,82.4,6.0,7.0,5.4,3.5,No,Hybrid,Poor,Good,No,0,High,2.3,77.39,Baik (75-90),4-6 jam,80-90%,Sangat Tinggi (7-10)
22,Female,7.18,91.1,7.2,4.5,3.7,3.63,Yes,Online,Good,Good,No,0,Middle,3.6,85.47,Baik (75-90),6-8 jam,>90%,Sedang (3-5)
17,Female,8.43,94.3,5.4,1.0,4.5,3.57,No,Online,Average,Good,Yes,4,High,2.2,94.48,Sangat Baik (>90),> 8 jam,>90%,Rendah (1-3)
