Student_ID,Age,Gender,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Part_Time_Job,Study_Method,Diet_Quality,Internet_Quality,Extracurricular,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Final_Score
STU00026,24,Female,2.1,76.9,7.2,7.1,4.1,3.54,Yes,Online,Good,Good,No,2,Middle,6.8,70.5
STU00027,21,Female,4.19,75.3,7,5.8,0.6,3.29,Yes,Offline,Average,Excellent,No,1,Low,3.7,85.69
STU00028,20,Female,0.42,65.8,6.9,4.2,6.3,3.64,No,Hybrid,Average,Good,No,2,Middle,5.4,68.32
STU00029,22,Female,7.1,76.4,6.5,4.2,3.8,2.58,No,Offline,Average,Average,No,1,Low,4.5,98.29
STU00030,18,Male,4.17,77.8,7.8,5.2,4.5,2.97,No,Offline,Average,Good,Yes,2,High,8.4,76.03
STU00031,20,Female,3.51,87.4,6.8,2.1,5.4,3.99,Yes,Offline,Good,Poor,No,3,Middle,5,92.76
STU00032,22,Male,7.14,72,7.6,8.3,4.9,2.75,Yes,Hybrid,Poor,Poor,Yes,2,High,5.6,85.89
STU00033,23,Female,1.7,66.9,4.9,2.8,3.7,2.34,No,Hybrid,Average,Good,No,2,Low,5.3,58.54
STU00034,23,Female,6.07,75,8.5,6.2,4.2,3.05,No,Offline,Average,Good,No,2,High,3.9,95.53
STU00035,18,Male,0.87,71.1,6.5,8,5.2,2.63,No,Hybrid,Average,Good,No,0,Middle,6.8,45.31
STU00036,19,Non-Binary,3.68,85.5,5.7,2.2,8,3.09,Yes,Online,Average,Excellent,No,2,Low,7.7,65.93
STU00037,17,Female,2.59,74.3,7.9,3.4,3.5,3.54,Yes,Offline,Good,Average,No,2,High,3.4,96.23
STU00038,24,Male,7.92,64.4,8.5,3.3,2,2.56,Yes,Offline,Average,Good,No,3,High,5.6,95.45
STU00039,17,Female,8.53,85.9,8.3,7.7,4.1,2.76,No,Hybrid,Good,Good,No,4,High,1.7,95.86
STU00040,20,Male,4.34,79.2,7.8,6.7,3.9,1.93,No,Online,Average,Excellent,No,0,High,8.2,59.14
STU00041,22,Female,6.68,81.7,7,5.3,5.8,2.51,No,Online,Good,Excellent,No,2,Low,2.6,90.89
STU00042,17,Female,4.64,83.9,6.9,6.2,6.6,3.06,No,Hybrid,Good,Excellent,No,2,Middle,6.9,66.2
STU00043,22,Non-Binary,6.14,90.5,8.7,2.8,3.6,3.02,No,Hybrid,Average,Average,No,3,Middle,2.3,96.49
STU00044,22,Female,3.49,70.8,6.6,4.6,4.2,2.62,No,Online,Average,Good,Yes,1,Low,5.7,77.71
STU00045,20,Male,1.58,86.1,7.8,4.9,6.6,3.25,No,Hybrid,Average,Average,Yes,0,High,4,67.78
STU00046,20,Female,1.39,80.6,8.3,7.9,2.9,4,Yes,Offline,Average,Average,No,1,Middle,5.9,84.67
STU00047,20,Male,5.77,80.5,8.1,2.2,0.5,3.39,Yes,Offline,Good,Excellent,No,1,High,5.5,86.1
STU00048,17,Female,9.5,78.9,4.6,3.6,5,3.71,No,Hybrid,Average,Poor,Yes,2,Middle,3.1,90.34
STU00049,23,Female,5.54,75.3,7,5.3,5.4,3.23,Yes,Hybrid,Average,Excellent,No,2,Middle,4.8,90.81
STU00050,20,Male,3.95,82,4.3,5.7,5.1,2.64,No,Offline,Average,Average,Yes,1,Low,7.1,65.18
STU00051,24,Male,9.1,80.2,8.1,3.9,2.6,3.5,No,Hybrid,Poor,Excellent,No,1,Low,2.8,86.73
STU00052,17,Female,5.47,86.7,7.8,5.1,2.1,3.38,No,Hybrid,Good,Average,Yes,2,High,1.9,97.86
STU00053,20,Female,5.2,94.7,6.5,4.5,5.1,2.28,No,Offline,Average,Average,No,0,High,2.2,92.57
STU00054,21,Male,5.51,70.1,5.4,4.7,3.2,2.76,No,Offline,Average,Average,No,2,Middle,2,92.58
STU00055,22,Male,4.74,99.3,6.2,3.7,2.3,3.11,No,Offline,Good,Good,Yes,3,High,2.1,94.74
STU00056,24,Male,4.38,90.7,5.8,5.1,3.8,3.29,Yes,Online,Poor,Average,Yes,0,Middle,6.4,74.14
STU00057,20,Female,2.13,68.5,7.5,4.9,3.2,1.95,No,Hybrid,Average,Good,No,1,High,6.7,61.87
STU00058,18,Male,6,78.6,6.9,5.4,3.3,3.37,No,Hybrid,Poor,Poor,No,2,Low,1.2,94.29
STU00059,22,Female,4.81,79.9,9,7.9,3.5,3.14,No,Hybrid,Good,Poor,No,3,Middle,3.5,85.59
STU00060,22,Male,7.45,91.6,6,6.7,1.8,3.61,No,Online,Average,Poor,No,2,Middle,2.3,89.93
STU00061,20,Female,4.26,70.3,5.3,5.7,4.7,2.9,No,Online,Good,Good,Yes,2,Middle,6,78.78
STU00062,23,Male,1.19,97,9.4,5.7,0.5,3.36,Yes,Online,Average,Excellent,No,2,Middle,3.1,93.34
STU00063,19,Female,4.8,69.2,6.1,6.5,3.1,2.91,No,Online,Poor,Excellent,No,2,Middle,3.1,69.34
STU00064,23,Male,8.4,76.3,5.2,7.3,5.8,3,Yes,Online,Average,Average,No,2,Middle,4.2,90.55
STU00065,20,Female,4.23,73.8,7.7,7.3,4.7,2.89,Yes,Offline,Average,Good,No,0,Low,6.2,70.49
STU00066,22,Male,3.22,67.6,8.8,5.3,5.4,2.69,Yes,Hybrid,Average,Good,No,0,Middle,4.8,56.54
STU00067,24,Female,2.89,68.7,7.1,2.5,0.9,2.57,Yes,Online,Average,Average,No,1,Middle,5,68.52
STU00068,18,Female,2.9,74.1,7.5,2.3,3.3,3.13,No,Hybrid,Average,Good,Yes,1,High,3.6,76.31
STU00069,24,Male,4.4,77.3,7.9,5,6.7,2.68,Yes,Offline,Average,Good,Yes,1,Middle,6.3,83.35
STU00070,24,Female,2.64,73.8,6.2,3.6,4,3.16,Yes,Online,Poor,Average,No,1,Low,4.4,74.93
STU00071,22,Female,8,70.7,7.1,5.9,1.5,3.04,Yes,Offline,Good,Poor,No,2,Middle,3.2,85.95
STU00072,23,Male,4.43,54.2,8,8,3.3,2.41,No,Hybrid,Average,Average,No,1,Low,5.5,66.92
STU00073,18,Male,5.66,77.2,6.5,6.3,4.6,2.58,Yes,Offline,Poor,Good,No,2,Middle,5.3,66.32
STU00074,17,Male,7.88,98.6,9.3,5,3,3.27,No,Online,Average,Poor,Yes,2,Low,5.1,89.63
STU00075,21,Female,8.01,96.4,5.4,2.7,4.4,2.02,Yes,Hybrid,Good,Average,No,0,Middle,5.8,89.85
STU00076,22,Female,4.57,91.5,5.8,5.7,3.2,3.59,No,Hybrid,Poor,Average,Yes,2,Low,5.6,92.87
STU00077,20,Male,5.66,76,6.5,2.1,6.9,2.53,No,Offline,Average,Poor,Yes,1,Low,3,95.87
STU00078,17,Female,6.47,85.1,6.1,5.7,4.6,2.44,No,Online,Good,Average,Yes,2,High,4.9,83.67
STU00079,21,Female,4.61,74.6,6.6,5.8,3.8,3.66,No,Hybrid,Average,Excellent,No,0,High,6.9,80.52
STU00080,20,Female,1.44,75.3,7.8,7.5,5.1,1.94,No,Online,Poor,Poor,Yes,0,Middle,9.6,40.92
STU00081,24,Female,6.31,81.5,9.2,10,3.8,2.88,Yes,Hybrid,Average,Good,No,1,Low,3.5,77.38
STU00082,19,Female,6.79,90.1,5.2,5.5,4.2,3.02,Yes,Online,Good,Average,Yes,4,High,4.6,94.95
STU00083,20,Female,5.83,75,6.1,10,2.5,2.84,No,Online,Average,Good,No,0,High,5.7,74.03
STU00084,18,Male,3.15,73.4,5.3,7.1,4.9,2.77,No,Online,Average,Good,No,0,High,7.5,58.58
STU00085,18,Female,4.61,79.6,7.1,3.8,5.6,3.08,No,Offline,Average,Average,No,3,Middle,5.6,93.47
STU00086,19,Female,3.82,65.2,6.2,5.5,4.7,2.27,No,Offline,Poor,Excellent,Yes,2,Low,4.5,58.33
STU00087,17,Male,4.4,88.5,6,5.9,1.9,2.77,Yes,Offline,Average,Good,Yes,2,Low,3.9,75.92
STU00088,21,Female,7.59,90.1,6.4,2.7,3.1,2.41,Yes,Online,Average,Excellent,No,4,High,4.8,98.29
STU00089,20,Female,8.06,91.7,7.4,4.9,3.1,2.61,No,Online,Average,Good,Yes,3,High,3.9,94.5
STU00090,18,Female,6.34,87.7,6,5.3,4.6,2.44,Yes,Hybrid,Average,Excellent,No,0,Middle,1.6,76.2
STU00091,17,Male,6.1,74.1,7,8.1,4.1,3.33,Yes,Hybrid,Good,Good,No,3,Middle,1,98.22
STU00092,19,Male,6.35,77.6,5.5,2.6,4.4,3.3,No,Offline,Poor,Excellent,Yes,3,Middle,4.4,98.31
STU00093,23,Female,4.98,70.7,9,5.8,3.2,2.86,No,Online,Average,Good,Yes,1,High,5.8,82.55
STU00094,22,Female,4.85,83.1,6.9,2.6,3,3.09,No,Offline,Average,Good,No,1,Middle,1.9,90.74
STU00095,23,Male,3.65,100,8.7,4.4,4.9,3.43,No,Online,Poor,Good,No,1,Middle,5.5,92.04
STU00096,23,Female,4.89,70.2,9.3,7.8,4,3.45,Yes,Hybrid,Average,Excellent,Yes,2,Low,4.3,80.66
STU00097,18,Female,9.52,86.5,7.2,4.6,4.1,2.67,Yes,Online,Good,Excellent,No,2,Middle,2.7,86.78
STU00098,24,Male,6.74,93.7,5.2,5.5,2.1,3.12,Yes,Offline,Average,Average,No,2,Middle,2.8,95.63
STU00099,24,Male,4.32,69.6,7.5,5.8,4.7,3.7,No,Online,Average,Good,No,1,High,2.5,85.66
STU00100,19,Male,4.06,100,5.8,2.8,2.9,3.06,Yes,Online,Average,Average,Yes,2,Low,2.5,98.14
STU00101,20,Female,3.27,73.4,7.9,6.4,3.6,3.17,Yes,Online,Average,Good,Yes,0,Low,3.1,61.97
STU00102,24,Male,5.75,79,6.1,6.3,2.9,2.39,No,Hybrid,Good,Average,No,2,Middle,4.1,87.46
STU00103,23,Male,5.78,84.2,7.7,4.5,4.5,3.19,No,Hybrid,Poor,Average,Yes,1,Middle,4.5,96.34
STU00104,24,Male,2.11,89.3,7.5,8.4,3.4,2.26,No,Offline,Poor,Excellent,Yes,0,Middle,5.5,36.58
STU00105,23,Male,5.97,87.9,5.2,9.5,5.7,3.5,No,Online,Average,Average,No,1,Middle,4.2,88.08
STU00106,21,Male,3.86,77.6,8.8,7.7,4.9,3.78,No,Hybrid,Poor,Good,Yes,1,High,3.1,84.99
STU00107,18,Male,7.85,73.5,10,6.4,4.2,3.31,No,Online,Good,Good,Yes,1,High,4.8,93.36
STU00108,18,Female,5.31,56.8,5.9,2.7,1.4,2.97,No,Hybrid,Good,Average,Yes,1,Middle,1,93.38
STU00109,20,Female,8.44,75,6.9,3.2,4.7,2.15,No,Offline,Average,Average,No,2,Middle,4.7,96.13
STU00110,24,Male,4.08,92.6,5.9,6.2,3.3,3.77,Yes,Hybrid,Poor,Good,Yes,2,Low,1,94.94
STU00111,24,Male,4.42,72.2,7.1,6.1,3.4,2.14,No,Online,Average,Average,No,1,High,4.9,72.11
STU00112,22,Non-Binary,5.6,86.1,7.1,7.8,4.6,2.4,No,Online,Average,Excellent,No,2,High,3.6,79.61
STU00113,17,Male,7.11,87.1,7.5,7.3,5.4,3.31,No,Hybrid,Good,Excellent,No,2,Middle,2.9,98.11
STU00114,21,Male,6.13,81.7,8,7,4.5,2.25,Yes,Offline,Average,Average,Yes,3,Low,2.1,84.61
STU00115,18,Male,2.53,74.5,7.8,5,4.2,4,No,Offline,Average,Average,Yes,2,Low,5.9,98.87
STU00116,21,Male,5.37,74.5,5.9,6.5,5.6,3.68,Yes,Offline,Average,Good,No,2,Middle,2.1,90.19
STU00117,18,Female,5.04,79.6,4.6,5.6,4.3,3.51,No,Hybrid,Good,Good,Yes,2,Low,1.5,99.62
STU00118,21,Male,4.14,62.5,6.9,5.5,3,2.95,Yes,Hybrid,Good,Average,No,1,Middle,8,69.64
STU00119,19,Female,3.7,94,6.9,5.8,4.7,2.39,No,Online,Average,Poor,No,1,Middle,5.3,78.13
STU00120,23,Male,8.5,69.6,7.9,6.7,3.9,2.39,Yes,Online,Poor,Good,No,2,Middle,2.2,88.22
STU00121,18,Male,4.22,73.8,8.8,8.7,3.2,2.82,Yes,Offline,Average,Excellent,Yes,1,High,5.3,67.7
STU00122,21,Female,3.31,73.9,7.4,5.9,1,2.6,No,Hybrid,Poor,Average,No,3,Middle,3.8,88.19
STU00123,24,Male,6.27,77.1,6.5,5.3,4.6,3.75,No,Online,Poor,Good,Yes,2,High,1,97.94
STU00124,17,Female,5.26,83.8,7.1,4,3.9,2.84,No,Online,Poor,Excellent,Yes,0,Low,3.3,83.76
STU00125,19,Male,4.85,92.1,6.5,7.2,5.9,2.76,No,Offline,Poor,Good,No,0,Low,4.9,75.8
STU00126,19,Female,6.56,82.3,7.2,3.7,4,3,Yes,Hybrid,Good,Good,No,3,Middle,5.5,96.49
STU00127,17,Male,5.98,95.7,6.3,1.1,3.1,2.65,Yes,Online,Average,Good,No,2,Middle,3.6,92.36
STU00128,21,Female,5.72,76.4,7.5,7.8,3.4,3.22,No,Online,Poor,Excellent,No,1,Low,4.7,76.25
STU00129,24,Male,6.93,87,6.1,9.7,2.4,2.85,No,Hybrid,Poor,Good,No,1,Middle,2.3,97.9
STU00130,20,Female,5.57,88,5.5,5.3,3,3.32,Yes,Online,Poor,Excellent,Yes,2,Middle,6.1,82.45
STU00131,17,Male,3.77,81.5,7.2,5.7,4.1,3.42,Yes,Offline,Good,Good,Yes,0,High,6.4,74.01
STU00132,21,Female,4.28,86.7,7.5,5.5,3.5,4,No,Hybrid,Average,Good,No,1,Middle,5,92.79
STU00133,17,Male,3.96,69.9,7.6,6.9,4.2,2.35,No,Offline,Average,Average,Yes,0,Middle,5.9,64.17
STU00134,17,Female,5.42,93.3,5.6,2.2,3.7,3.27,Yes,Offline,Average,Average,No,3,High,1.1,97.86
STU00135,18,Male,2.84,88.2,5,1.2,4.3,3.05,Yes,Hybrid,Average,Good,Yes,2,High,6.7,73.61
STU00136,21,Male,1.34,81.8,5.3,3.9,3.7,3.91,Yes,Online,Poor,Average,Yes,1,Middle,5.6,67.1
STU00137,20,Female,5.18,76.6,8.5,8.1,3.4,3.04,No,Online,Poor,Good,Yes,0,Middle,5,68.67
STU00138,23,Male,2.33,88.5,8,6,1.9,3.77,No,Offline,Average,Average,No,2,Middle,4.5,93.33
STU00139,18,Male,1.1,69.3,7.6,3.3,7.8,3.44,Yes,Online,Poor,Excellent,No,1,Low,5.5,72.13
STU00140,17,Female,5.75,87.5,8.6,5.1,1.5,3.73,No,Online,Good,Average,Yes,1,Low,2.3,91.37
STU00141,23,Non-Binary,3.58,89.4,8.3,3.8,4.5,3.25,No,Hybrid,Average,Excellent,Yes,2,Middle,3.2,94.67
STU00142,22,Male,5.99,100,8.5,3.2,4.1,3.71,Yes,Hybrid,Average,Good,No,2,High,1.5,85.38
STU00143,23,Female,3.94,79.3,7.1,2.7,4.7,2.09,No,Offline,Poor,Average,Yes,1,Middle,5.5,69.24
STU00144,17,Female,2.76,93.7,9.2,5.3,4.5,2.75,No,Online,Good,Good,No,2,Low,6.7,79.85
STU00145,17,Male,2.51,86.4,8.8,5.3,2.2,2.58,Yes,Offline,Good,Average,No,1,Low,1.9,80.81
STU00146,24,Female,3.97,64.1,5.9,5.9,3,3.61,No,Offline,Average,Average,No,2,Middle,5.6,69.3
STU00147,21,Female,4.45,67.3,8,5.4,2.6,2.99,No,Hybrid,Poor,Average,No,0,Middle,5.1,88.99
STU00148,21,Non-Binary,3.35,74.8,8.9,3,5.1,2.65,No,Online,Good,Poor,Yes,2,Middle,4.7,97.17
STU00149,18,Male,4.44,91.8,9.9,3.7,6.8,3.98,Yes,Offline,Good,Excellent,No,0,Middle,3.1,86.61
STU00150,20,Female,1.93,94.7,6.5,4.7,3.7,3.42,Yes,Hybrid,Average,Poor,No,1,High,2.3,90.25
STU00151,18,Male,5.03,77.7,7.5,5.9,3.6,3.22,Yes,Online,Good,Good,No,2,Middle,3.3,87.01
STU00152,19,Male,1.41,84.5,7.5,3.6,5.2,2.27,No,Offline,Average,Average,Yes,0,Middle,8,57.16
STU00153,17,Male,4.61,82.4,6,7,5.4,3.5,No,Hybrid,Poor,Good,No,0,High,2.3,77.39
STU00154,23,Non-Binary,6.39,55.4,6.9,2.7,4.5,3.3,No,Online,Average,Average,No,5,High,1.9,94.83
STU00155,22,Female,7.18,91.1,7.2,4.5,3.7,3.63,Yes,Online,Good,Good,No,0,Middle,3.6,85.47
STU00156,17,Female,8.43,94.3,5.4,1,4.5,3.57,No,Online,Average,Good,Yes,4,High,2.2,94.48
STU00157,17,Female,1.89,57.8,7.4,1.7,4.1,3.13,Yes,Online,Average,Good,Yes,1,Middle,4.7,78.59
STU00158,18,Male,6.52,70.8,6.4,9.8,4.2,3.09,Yes,Online,Good,Average,No,1,Middle,6.8,80.19
STU00159,22,Male,7.41,79.3,6,5.9,4,2.07,Yes,Offline,Poor,Good,No,2,Middle,3,78.65
STU00160,22,Male,6.96,79.3,6,5.7,3.7,3.43,Yes,Offline,Average,Average,Yes,3,Middle,4,86.9
STU00161,22,Male,3.14,90.7,8,7.8,2.2,1.5,Yes,Hybrid,Poor,Poor,No,0,Middle,6.5,52.6
STU00162,18,Female,5.82,91.9,8.2,2.2,2,2.34,Yes,Online,Poor,Good,Yes,1,Middle,3.5,89.68
STU00163,17,Female,8.72,74.6,6.6,3.4,4.1,3.59,No,Online,Average,Good,Yes,3,High,1.5,92.58
STU00164,18,Male,2.01,86.9,6.7,6.6,5.2,3.37,No,Offline,Average,Good,Yes,0,Middle,5.5,52.82
STU00165,21,Male,5.95,73.7,4.4,2.4,2.9,3.31,No,Offline,Good,Good,Yes,3,Middle,3.2,87.61
STU00166,21,Male,7.22,77.1,7,4.2,4.5,3.38,Yes,Online,Average,Average,Yes,2,Low,5.6,80.39
STU00167,18,Male,3.61,82.5,9,1,5.5,2.32,No,Offline,Good,Average,Yes,4,High,4.1,98.52
STU00168,22,Female,6.17,85.6,7.6,5.9,1.9,2.28,Yes,Offline,Good,Poor,Yes,2,High,1.6,91.79
STU00169,24,Female,2.86,73.9,8.3,8,4.9,2.57,Yes,Online,Average,Good,No,1,Middle,5.3,62.2
STU00170,17,Female,3.38,99.2,7.2,6.6,2.5,3.2,Yes,Offline,Average,Good,No,2,High,4.2,75.1
STU00171,18,Male,3.37,82.2,6.2,3.9,2.8,3.21,Yes,Online,Average,Average,No,2,High,7.4,83.38
STU00172,18,Male,5.38,80.2,7,3.4,3.1,2.5,No,Hybrid,Poor,Good,Yes,2,High,5.1,79.87
STU00173,18,Male,4.82,87.9,8.5,7.3,4.8,3.22,Yes,Hybrid,Good,Good,Yes,2,Middle,2.6,86.49
STU00174,24,Female,6.91,73.9,8,1,6.1,3.12,No,Offline,Good,Good,No,3,Middle,2.9,88.71
STU00175,24,Female,3.12,83.3,6,4.2,4.8,2.62,Yes,Offline,Average,Good,No,2,Low,4.7,71.45
STU00176,19,Male,4.74,55.7,6.1,3,4.6,3.21,Yes,Hybrid,Good,Good,Yes,3,High,4.1,95.92
STU00177,21,Female,6.92,63,7.9,5.7,2.9,3.24,No,Offline,Average,Good,Yes,3,High,4.7,91.11
STU00178,23,Female,6.12,76.5,7.5,3,1.8,4,Yes,Online,Poor,Average,No,1,High,3.9,96.26
STU00179,22,Female,2.35,75.5,9,5.8,4.3,2.66,Yes,Offline,Average,Average,No,0,Middle,5,70.63
STU00180,20,Female,6.33,76.6,6,1.7,5.3,3.57,No,Offline,Average,Average,No,3,Middle,3.9,88.41
STU00181,24,Female,4.04,73.7,4.7,2.8,6.5,2.99,No,Online,Average,Good,No,3,Middle,4.9,73.87
STU00182,23,Female,5.77,86,7.1,6.9,7.2,3.06,No,Hybrid,Average,Excellent,No,0,Middle,1.4,89.16
STU00183,24,Male,5.6,92.3,5.3,9.8,2.9,3.11,Yes,Online,Average,Good,No,0,Middle,5.3,68.39
STU00184,22,Male,7.44,75.1,6.5,3,5.9,2.74,Yes,Online,Average,Average,Yes,2,Low,3.4,86.15
STU00185,20,Male,5.23,90.5,6.6,1.2,5,2.4,Yes,Online,Average,Good,No,1,High,1.7,86.58
STU00186,19,Male,1.29,84,7.1,7.3,4.1,3.51,Yes,Hybrid,Poor,Excellent,Yes,1,Middle,8.4,78.27
STU00187,18,Female,2.26,68.1,9.7,5.4,4.7,2.46,No,Offline,Poor,Excellent,No,1,High,6.3,63.21
STU00188,19,Female,6.46,66.7,7.9,1,7.3,2.67,Yes,Offline,Poor,Good,No,4,Middle,4.1,89.32
STU00189,24,Male,4.48,80.7,6.7,3.7,1.7,3.33,No,Hybrid,Poor,Excellent,No,0,Middle,2.9,98.42
STU00190,19,Female,7.28,90.9,6.2,5.2,1.6,3.48,No,Hybrid,Average,Poor,No,2,Low,5.3,87.4
STU00191,23,Male,5.55,71,8.5,5.6,3.2,3.35,No,Offline,Average,Average,Yes,3,High,1.7,98.85
STU00192,17,Male,3.5,59.2,6.9,7,2.9,3,No,Offline,Average,Poor,Yes,2,High,4.8,71.06
STU00193,24,Male,7.16,89.9,5.6,6.2,4.6,3.98,No,Offline,Average,Good,No,3,Low,2.1,97.04
STU00194,24,Male,3.39,91.7,7.5,3.3,4,2.6,Yes,Offline,Average,Poor,No,4,Low,4.6,97.6
STU00195,23,Male,0.89,77.9,5.9,1.4,1,2.44,No,Online,Average,Good,Yes,1,Middle,3.8,73.88
STU00196,21,Female,9.13,91.1,7.7,4.8,1,3.01,No,Offline,Average,Good,No,4,Middle,5.4,94.44
STU00197,20,Male,1.18,100,9.2,6.3,3.4,2.19,No,Online,Poor,Average,Yes,0,Low,6.8,46.31
STU00198,18,Non-Binary,6.27,71.7,5.8,7.9,4.1,2.96,No,Hybrid,Average,Excellent,Yes,1,Middle,6.2,74.43
STU00199,23,Male,6.88,76.3,7.4,7.1,6.3,2.41,Yes,Hybrid,Average,Average,Yes,0,Middle,5.1,82.87
STU00200,20,Male,5.29,76.4,6.6,4.4,2.8,3.17,Yes,Offline,Average,Average,No,3,Middle,5.8,86.29
STU00201,22,Male,1.63,91,6.7,3.6,4.4,2.27,Yes,Offline,Average,Good,Yes,1,High,4.4,63.51
STU00202,20,Female,7.03,71.7,8.4,7.9,2.1,2.98,Yes,Online,Average,Poor,No,3,Middle,4.8,98.93
STU00203,22,Male,2.12,77.1,4.5,6.7,7.1,2.54,No,Offline,Average,Good,Yes,0,High,4.2,44.74
STU00204,23,Female,2.31,92.9,6.2,3.7,2.4,2.51,Yes,Online,Average,Excellent,Yes,3,Low,4.1,88.91
STU00205,24,Female,4.28,90.4,8.7,4.3,3.3,3.63,Yes,Hybrid,Average,Excellent,No,3,Middle,2.6,97.98
STU00206,24,Female,6.58,90.8,6.3,6,3.6,3.06,No,Online,Average,Excellent,No,1,Low,1.4,96.97
STU00207,21,Female,5.6,71.1,5.6,1,3.8,3.37,No,Online,Average,Average,Yes,1,Middle,2.8,87.78
STU00208,23,Male,6.62,84.7,6.6,6.4,4.7,2.16,Yes,Online,Good,Good,Yes,1,High,3.7,79.69
STU00209,22,Male,4.11,74.5,7.3,4.4,3.2,2.95,No,Offline,Good,Poor,No,3,High,3.8,87.83
STU00210,20,Male,4.66,89.5,7.5,2.5,5.1,2.99,Yes,Offline,Poor,Average,Yes,4,High,2.9,94.38
STU00211,20,Female,2.73,85.3,8.1,2.4,4.3,3.63,No,Online,Average,Poor,No,2,Middle,4.8,79.52
STU00212,22,Male,4.37,87.4,8.8,3.2,2.9,2.92,No,Hybrid,Good,Average,No,3,High,2.2,98.28
STU00213,19,Male,6.19,78.6,8,5.6,3.2,3.07,No,Online,Average,Excellent,Yes,1,Middle,3,94.63
STU00214,21,Non-Binary,4.4,81.8,7.7,3.6,3.5,2.27,No,Offline,Good,Average,No,4,Low,3.5,90.54
STU00215,17,Male,5.95,84.1,7.8,7.8,4.2,3.34,No,Hybrid,Good,Good,No,3,Middle,4.1,92.16
STU00216,24,Female,3.85,78.3,5.8,6.1,5.2,2.7,No,Offline,Average,Good,Yes,1,Middle,7.1,63.27
STU00217,18,Female,3.82,83.6,7.8,4.4,5.1,2.54,No,Offline,Average,Good,Yes,1,Middle,6.3,75.1
STU00218,20,Male,5.08,70.7,8.7,7.7,0.5,2.53,No,Offline,Average,Excellent,Yes,0,Low,4.9,81.92
